Wallet No,Address,Balance,Age,Occupation,Loan Approval,Balance Deviation (CV),Send Money_1,Send Money_2,Send Money_3,Received Money_1,Received Money_2,Received Money_3,Cash In_1,Cash In_2,Cash In_3,Cash Out_1,Cash Out_2,Cash Out_3,Make Payment_1,Make Payment_2,Make Payment_3,Pay Bill_1,Pay Bill_2,Add Money_1,Add Money_2,Add Money_3,Fund Transfer_1,Fund Transfer_2,Fund Transfer_3,Request Money,Remittance_1,Remittance_2,Donation_1,Donation_2,Others_1,Others_2,Others_3
1712345678,Urban,29300.0,29,Business,Eligible,32.05112042843014,9,0,0,4,7,0,0,4,0,6,0,0,3,0,0,0,0,0,5,0,0,3,0,4,0,0,4,0,1,0,0
1887654321,Rural,100.0,35,Student,UC,63.09887259448202,4,0,1,11,0,0,3,4,0,4,0,0,5,0,1,3,0,0,1,0,0,0,0,7,1,0,1,0,0,0,0
1913579246,Urban,38250.0,38,Business,Eligible,39.52508702646872,1,8,4,0,0,10,0,0,5,0,2,0,1,4,2,6,10,0,0,0,0,7,4,0,0,0,8,0,0,0,2
1624681012,Urban,57547.3,39,Doctor,Eligible,47.55410387156854,0,3,6,0,5,12,0,6,7,0,5,8,2,5,2,6,5,0,4,9,0,0,0,0,0,1,0,0,0,0,2
1597531864,Urban,2475.19,24,Student,Eligible,41.175714592620416,0,10,0,6,10,0,1,6,0,1,8,0,0,0,0,3,0,3,7,0,0,0,0,2,0,0,1,0,0,0,0
1486429753,Rural,25090.47,42,Business,UC,31.475020027478784,0,20,4,17,14,15,2,5,4,0,16,7,0,7,2,11,8,5,13,7,19,2,0,5,0,0,6,0,0,0,0
1375318942,Urban,5880.18,36,Private Service,UC,55.34839062737835,0,0,3,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1864281097,Urban,759.44,37,Lawyer,Not Eligible,77.89989473803607,0,1,1,0,1,2,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1
1553197286,Urban,2316.69,26,Farmer,Not Eligible,61.79884822548487,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1798765432,Rural,4891.91,36,House Wife,Not Eligible,55.16533899688319,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1475316942,Urban,43.37,43,NGO,Not Eligible,103.07410244588229,0,7,4,2,0,0,0,2,6,3,7,4,1,4,1,1,0,0,1,3,0,0,0,1,0,0,0,1,0,1,1
1897549864,Rural,8323.28,27,House Wife,Not Eligible,76.06308033767701,0,0,2,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1554311669,Urban,1251.29,21,Student,Not Eligible,53.264534768650684,13,1,0,10,1,0,20,0,0,25,2,0,5,0,0,18,0,10,0,0,0,0,0,5,0,0,1,0,0,0,0
1143808786,Urban,1395.41,22,Govt. Service,Not Eligible,69.37,0,1,1,0,2,1,1,0,0,2,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,4,0
1878480632,Rural,1019.49,23,Student,Not Eligible,68.24,1,2,1,0,1,1,1,0,0,3,0,0,0,1,0,0,2,2,1,0,1,0,0,0,0,1,0,1,1,3,1
1303739344,Urban,597.47,33,Business,Not Eligible,65.08,2,1,1,1,0,0,1,0,0,2,3,1,0,1,0,0,0,1,1,0,2,1,0,1,2,0,0,2,1,0,2
1036888220,Rural,2026.3,31,Farmer,Not Eligible,60.83,2,2,0,0,1,0,2,0,0,2,0,1,2,0,0,2,0,1,1,0,2,0,0,2,1,0,0,3,1,0,0
1944102440,Urban,951.35,25,Student,Not Eligible,60.25,0,2,1,2,2,0,0,2,0,3,0,1,3,2,0,3,0,0,1,0,1,0,0,0,0,0,0,3,1,0,1
1427774037,Rural,1292.56,44,House Wife,Not Eligible,60.59,3,1,0,3,1,1,2,1,0,3,3,1,1,2,0,1,1,2,0,0,2,0,0,1,2,1,0,2,0,5,0
