Wallet No,DateTime,Transaction Type,Amount,Transaction ID, Balance
1712345678,1/1/2023 12:00,Received Money,1000,#01PJMOKOT4H,11000
1712345678,1/1/2023 12:00,Send Money,200,#01987R8SJFU,10800
1712345678,1/1/2023 12:00,Cash Out,500,#01NSY9KFFTO,10300
1712345678,2/5/2023 13:30,Make Payment,100,#011SYZ1UTZF,10200
1712345678,2/5/2023 13:30,Donation,50,#01U085ZYJMO,10150
1712345678,2/5/2023 13:30,Fund Transfer,1000,#013AP0ASS5E,9150
1712345678,2/15/2023 13:30,Received Money,2000,#016ZFWO25E6,11150
1712345678,3/10/2023 14:00,Cash Out,500,#01KFNMCGFG9,10650
1712345678,3/10/2023 14:00,Add Money,3000,#01B8TFQVSZO,13650
1712345678,3/10/2023 14:00,Request Money,100,,13650
1712345678,9/27/2023 10:44,Received Money,100,#01HG1U38ONH,13750
1712345678,3/20/2023 14:00,Cash In,1000,#01TZDOGQOQJ,14750
1712345678,4/15/2023 15:00,Send Money,200,#013KS29OKRY,14550
1712345678,4/15/2023 15:00,Donation,50,#01MPGJ439OI,14500
1712345678,4/15/2023 15:00,Make Payment,100,#01YR075XW19,14400
1712345678,4/25/2023 15:00,Cash Out,500,#01TA78BUS02,13900
1712345678,5/20/2023 16:00,Add Money,3000,#01A6T3QB58S,16900
1712345678,5/20/2023 16:00,Received Money,1000,#01Y2LL6MQNX,17900
1712345678,5/20/2023 16:00,Send Money,200,#01DHPBXWHJJ,17700
1712345678,5/30/2023 16:00,Send Money,500,#01CYKI17ANA,17200
1712345678,6/4/2023 12:00,Add Money,3000,#016UDHZ695Y,20200
1712345678,6/25/2023 12:30,Request Money,100,,20200
1712345678,9/27/2023 10:44,Received Money,100,#01J15ORKW5R,20300
1712345678,6/25/2023 12:30,Send Money,100,#01581MM7K1X,20200
1712345678,6/25/2023 12:30,Cash In,1000,#01OCA4XG0CT,21200
1712345678,7/8/2023 13:30,Send Money,200,#019HJ1AA3G2,21000
1712345678,7/30/2023 13:00,Cash Out,500,#01H3HLIJA4U,20500
1712345678,7/30/2023 13:00,Make Payment,100,#011D9MW1JIK,20400
1712345678,7/30/2023 13:00,Donation,50,#01GJ4I6HQRL,20350
1712345678,8/4/2023 14:30,Fund Transfer,1000,#01EULP0LOSA,19350
1712345678,8/4/2023 14:30,Received Money,2000,#01H9YOF14QT,21350
1712345678,8/4/2023 14:30,Cash Out,500,#01WHFW5FM3N,20850
1712345678,8/12/2023 14:00,Add Money,3000,#01CFNTV8YW8,23850
1712345678,9/8/2023 15:30,Request Money,500,,23850
1712345678,9/8/2023 15:30,Received Money,1000,#01P0N3ZZTJ1,24850
1712345678,9/8/2023 15:30,Received Money,500,#01SZVLTT3RP,25350
1712345678,9/16/2023 15:00,Cash In,1000,#0144EOYL7FM,26350
1712345678,9/27/2023 10:44,Received Money,600,#01KXXLPR3S9,26950
1712345678,10/12/2023 16:00,Send Money,200,#01M7CJSDAS5,26750
1712345678,10/12/2023 16:00,Cash Out,500,#01KX3E2AWPJ,26250
1712345678,10/12/2023 16:00,Send Money,100,#01MNB6QMZ7D,26150
1712345678,10/20/2023 16:00,Donation,50,#01D2OJGR8QV,26100
1712345678,11/16/2023 12:00,Fund Transfer,1000,#01LWHXFSVMP,25100
1712345678,11/16/2023 12:00,Cash In,2000,#01C3G53BLTT,27100
1712345678,11/16/2023 12:00,Send Money,500,#01G6LBI29DF,26600
1712345678,11/25/2023 12:30,Add Money,3000,#01N2FMDSNTM,29600
1712345678,12/20/2023 13:30,Request Money,850,,29600
1712345678,9/27/2023 10:44,Received Money,300,#01D2LEQLJ4E,29900
1712345678,12/20/2023 13:30,Received Money,1000,#01MKUEPMAWH,30900
1712345678,12/20/2023 13:30,DNCC Holding Tax,500,#01WA6KSMLSW,30400
1887654321,1/5/2023 13:30,Cash In,500,#01NWZSHT94B,1100
1887654321,1/10/2023 14:00,Request Money,300,,1100
1887654321,1/10/2023 14:20,Received Money,300,#01NQ4BK6K7H,1400
1887654321,1/15/2023 15:00,Cash Out,200,#01JY3TAW8E7,1200
1887654321,2/5/2023 13:30,Add Money,1000,#01WZ2KZSJ0V,2200
1887654321,2/10/2023 14:00,Request Money,200,,2200
1887654321,2/10/2023 14:20,Received Money,200,#01CG0N2R5A6,2400
1887654321,2/15/2023 15:00,Cash Out,500,#01HVWPIPZIH,1900
1887654321,3/5/2023 13:30,Cash In,1000,#01CJ8R3RGHQ,2900
1887654321,3/10/2023 14:00,Received Money,100,#018DTCWIZDY,3000
